Date,Open,High,Low,Close*,Adj Close**,Volume
1-Apr-22,4540.32,4548.70,4507.57,4545.86,4545.86,3828290000.00
31-Mar-22,4599.02,4603.07,4530.41,4530.41,4530.41,3782040000.00
30-Mar-22,4624.20,4627.77,4581.32,4602.45,4602.45,3665390000.00
29-Mar-22,4602.86,4637.30,4589.66,4631.60,4631.60,4239660000.00
28-Mar-22,4541.09,4575.65,4517.69,4575.52,4575.52,3696850000.00
25-Mar-22,4522.91,4546.03,4501.07,4543.06,4543.06,3577520000.00
24-Mar-22,4469.98,4520.58,4465.17,4520.16,4520.16,3573430000.00
23-Mar-22,4493.10,4501.07,4455.81,4456.24,4456.24,4014360000.00
22-Mar-22,4469.10,4522.00,4469.10,4511.61,4511.61,3962880000.00
21-Mar-22,4462.40,4481.75,4424.30,4461.18,4461.18,3961050000.00
18-Mar-22,4407.34,4465.40,4390.57,4463.12,4463.12,6681510000.00
17-Mar-22,4345.11,4412.67,4335.65,4411.67,4411.67,4174170000.00
16-Mar-22,4288.14,4358.90,4251.99,4357.86,4357.86,5002240000.00
15-Mar-22,4188.82,4271.05,4187.90,4262.45,4262.45,4331170000.00
14-Mar-22,4202.75,4247.57,4161.72,4173.11,4173.11,4757600000.00
11-Mar-22,4279.50,4291.01,4200.49,4204.31,4204.31,3877430000.00
10-Mar-22,4252.55,4268.28,4209.80,4259.52,4259.52,4008690000.00
9-Mar-22,4223.10,4299.40,4223.10,4277.88,4277.88,4220180000.00
8-Mar-22,4202.66,4276.94,4157.87,4170.70,4170.70,6237000000.00
7-Mar-22,4327.01,4327.01,4199.85,4201.09,4201.09,5506330000.00
4-Mar-22,4342.12,4342.12,4284.98,4328.87,4328.87,4558250000.00
3-Mar-22,4401.31,4416.78,4345.56,4363.49,4363.49,4062080000.00
2-Mar-22,4322.56,4401.48,4322.56,4386.54,4386.54,4409090000.00
1-Mar-22,4363.14,4378.45,4279.54,4306.26,4306.26,4679400000.00
28-Feb-22,4354.17,4388.84,4315.12,4373.94,4373.94,4594010000.00
25-Feb-22,4298.38,4385.34,4286.83,4384.65,4384.65,3941780000.00
24-Feb-22,4155.77,4294.73,4114.65,4288.70,4288.70,5070560000.00
23-Feb-22,4324.93,4341.51,4221.51,4225.50,4225.50,3814340000.00
22-Feb-22,4332.74,4362.12,4267.11,4304.76,4304.76,4007780000.00
18-Feb-22,4384.57,4394.60,4327.22,4348.87,4348.87,3871340000.00
17-Feb-22,4456.06,4456.06,4373.81,4380.26,4380.26,3596510000.00
